participant,Pointing From,Target Building,Correct Ans,Pointing To,Angular Error
523,Golledge,Lynch,173.9683139,54.1231,119.8452139
523,Golledge,Snow,1.204134401,8.494309,7.290174599
523,Golledge,Sauer,76.21088344,75.89375,0.31713344
523,Golledge,Tobler,147.0284471,150.362,3.3335529
523,Golledge,Harvey,139.9309368,84.60962,55.3213168
523,Golledge,Batty,173.5694617,28.13934,145.4301217
523,Golledge,Harris,176.2022806,53.12365,123.0786306
523,Snow,Sauer,0.279262352,5.213009,4.933746648
523,Snow,Harvey,119.6929579,128.1575,8.4645421
523,Snow,Batty,90.64700942,177.2432,86.59619058
523,Snow,Tobler,63.69277617,16.35412,47.33865617
523,Snow,Harris,88.09346154,123.6577,35.56423846
523,Snow,Lynch,79.44851915,174.6118,95.16328085
523,Snow,Golledge,125.8431145,112.3363,13.5068145
523,Sauer,Batty,6.744508622,116.8859,110.1413914
523,Sauer,Lynch,17.76205492,27.3888,9.62674508
523,Sauer,Tobler,2.713388186,94.61777,91.90438181
523,Sauer,Harris,4.240040564,61.88616,57.64611944
523,Sauer,Snow,89.63525726,100.3799,10.74464274
523,Sauer,Harvey,23.09134403,44.38451,21.29316597
523,Sauer,Golledge,51.85616181,44.384,7.47216181
523,Tobler,Sauer,20.69981416,34.38871,13.68889584
523,Tobler,Harris,173.2852643,47.61662,125.6686443
523,Tobler,Batty,171.0086651,80.61546,90.3932051
523,Tobler,Lynch,156.2355625,68.11771,88.1178525
523,Tobler,Harvey,147.248191,46.61916,100.629031
523,Tobler,Golledge,67.30353066,31.11966,36.18387066
523,Tobler,Snow,38.78279809,79.61566,40.83286191
560,Batty,Snow,48.19947553,10.20392,37.99555553
560,Batty,Harvey,93.19423766,24.18641,69.00782766
560,Batty,Harris,37.5286373,3.269681,34.2589563
560,Batty,Golledge,51.76768154,36.68311,15.08457154
560,Batty,Tobler,37.30802198,15.6935,21.61452198
560,Batty,Lynch,47.32798389,1.032114,46.29586989
560,Batty,Sauer,30.3316951,23.83476,6.4969351
560,Lynch,Snow,8.968174613,27.26012,18.29194539
560,Lynch,Tobler,17.95076442,23.75728,5.80651558
560,Lynch,Sauer,29.20903342,44.75647,15.54743658
560,Lynch,Golledge,3.323863738,3.811359,0.487495262
560,Lynch,Harvey,48.19593801,7.776955,40.41898301
560,Lynch,Batty,130.6542463,23.75697,106.8972763
560,Lynch,Harris,7.021704671,137.7481,130.7263953
560,Harris,Harvey,2.146796904,108.7163,106.5695031
560,Harris,Batty,83.35216568,122.2818,38.92963432
560,Harris,Tobler,99.95984558,18.72053,81.23931558
560,Harris,Lynch,114.5627943,123.2823,8.7195057
560,Harris,Snow,84.7281122,16.72089,68.0072222
