participant,date,model number,building,x,y,error
4118,2/1/2019 13:48,0,Lynch Station,574,126,562.0035587
4118,2/1/2019 13:48,0,Harris Hall,409,159,205.2437575
4118,2/1/2019 13:48,0,Harvey House,225,48,442.4138334
4118,2/1/2019 13:48,0,Golledge Hall,64,158,517.3867026
4118,2/1/2019 13:48,0,Tobler Museum,12,348,531.4480219
4118,2/1/2019 13:48,0,Snow Church,250,331,482.7338811
4118,2/1/2019 13:48,0,Sauer Center,155,432,635.0031496
4290,4/16/2019 9:20,0,Tobler Museum,169,451,461.7542637
4290,4/16/2019 9:20,0,Sauer Center,26,464,754.6403117
4290,4/16/2019 9:20,0,Batty House,475,69,491.8465208
4290,4/16/2019 9:20,0,Lynch Station,430,175,421.0997507
4290,4/16/2019 9:20,0,Harris Hall,225,202,26
4290,4/16/2019 9:20,0,Harvey House,24,259,352.1022579
4290,4/16/2019 9:20,0,Golledge Hall,302,328,264.5996977
4290,4/16/2019 9:20,0,Snow Church,170,314,556.7737422
4293,3/1/2019 13:36,0,Lynch Station,379,403,461.0097613
4293,3/1/2019 13:36,0,Batty House,588,531,617.9012866
4293,3/1/2019 13:36,0,Tobler Museum,86,269,432.7331741
4293,3/1/2019 13:36,0,Golledge Hall,336,203,244.3931259
4293,3/1/2019 13:36,0,Snow Church,296,31,454.6163217
4293,3/1/2019 13:36,0,Sauer Center,64,62,563.8882868
4293,3/1/2019 13:36,0,Harvey House,605,51,533.9260248
4293,3/1/2019 13:36,0,Harris Hall,582,278,370.6656175
4822,2/1/2019 15:38,0,Batty House,68,485,216.9101196
4822,2/1/2019 15:38,0,Lynch Station,1,284,160.3776792
4822,2/1/2019 15:38,0,Harris Hall,303,242,89.4427191
4822,2/1/2019 15:38,0,Harvey House,665,87,544.1001746
4822,2/1/2019 15:38,0,Golledge Hall,451,108,215.0767305
4822,2/1/2019 15:38,0,Snow Church,475,-1,317.044161
4822,2/1/2019 15:38,0,Sauer Center,279,-11,346.3697446
4822,2/1/2019 15:38,0,Tobler Museum,212,147,282.1099077
4908,3/1/2019 12:35,0,Lynch Station,325,73,317.1277345
4908,3/1/2019 12:35,0,Batty House,311,7,388.4340356
4908,3/1/2019 12:35,0,Harvey House,15,230,377.9761897
4908,3/1/2019 12:35,0,Harris Hall,136,369,163.370744
